V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,2,2,2,2,2,2,2,0.6,10
2,1.946069229063578,2,2,1.9647576917335392,2,2.041955543495715,2,0.5996408611270598,10
3,1.8521527731511742,2,1.999275849249214,1.9647576917335392,2,2.041955543495715,1.9738748899893834,0.5989369106297381,10
4,1.8521527731511742,1.9999407648677006,1.998820923968684,1.891744212396443,1.978816585894674,2.041955543495715,1.9701259735273196,0.598868741968181,10
5,1.7861469086073338,1.9992009508800692,1.9984455480528998,1.891744212396443,1.9758166417945175,2.041955543495715,1.9701259735273196,0.598536168362014,10
6,1.7861469086073338,1.9992009508800692,1.998176650526468,1.852080404087901,1.9556314497720448,2.041955543495715,1.9701259735273196,0.5984628979219123,10
7,1.782093026023358,1.9992009508800692,1.9977018538056877,1.772270107343793,1.897996400017291,2.041955543495715,1.920563236880116,0.5984628979219123,10
8,1.782093026023358,1.9992009508800692,1.9973615489909429,1.772270107343793,1.897996400017291,2.041955543495715,1.881332741398364,0.5978191182478331,10
9,1.6687963499780745,1.9992009508800692,1.9973615489909429,1.772270107343793,1.897996400017291,2.041955543495715,1.881332741398364,0.5975507515985519,10
10,1.6687963499780745,1.9982952022529206,1.9966174946972173,1.772270107343793,1.897996400017291,2.041955543495715,1.881332741398364,0.5975507515985519,10
11,1.6357580301351846,1.9982952022529206,1.9960931335720238,1.772270107343793,1.897996400017291,2.041955543495715,1.881332741398364,0.5975209560636431,10
12,1.6357580301351846,1.9982952022529206,1.9960931335720238,1.7383796111866832,1.8399764352478085,2.041955543495715,1.8602266363101077,0.5975209560636431,10
13,1.6357580301351846,1.9981443519704043,1.9951842282311996,1.6873752515763045,1.8399764352478085,2.2335713556967676,1.8602266363101077,0.5970977052021772,10
14,1.6357580301351846,1.9981443519704043,1.9947962777875368,1.6563508229702713,1.8399764352478085,2.322758609615266,1.8488809335744005,0.5966944618322887,10
15,1.6357580301351846,1.9981443519704043,1.9947962777875368,1.6395338514074684,1.8399764352478085,2.5166806422173975,1.834978480171412,0.5966944618322887,10
16,1.6357580301351846,1.9981375091988594,1.9947962777875368,1.6395338514074684,1.8399764352478085,2.5166806422173975,1.834978480171412,0.5966944618322887,10
17,1.5953344800323248,1.9976051787347533,1.9942548753139566,1.6395338514074684,1.7687141539063302,2.6467515875585375,1.834978480171412,0.5963335572867655,10
18,1.56805980253499,1.9973794688438065,1.9938514813673687,1.6057335853204133,1.7270532101858405,2.656916675996035,1.796917114895768,0.5955027191648261,10
19,1.56805980253499,1.9973794688438065,1.9938514813673687,1.5785676398500803,1.695228945231065,2.7138333053328094,1.7646735847461965,0.595199052383192,10
20,1.56805980253499,1.9971602959991432,1.9938514813673687,1.5785676398500803,1.695228945231065,2.7138333053328094,1.7183155858656387,0.5943626726102086,10
21,1.56805980253499,1.9965772063708864,1.9938514813673687,1.5785676398500803,1.6641952032223342,2.7138333053328094,1.7040756855858485,0.5943626726102086,10
